"coefficient","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26"
"B6",-0.0157773068647743,0.0726469845048487,0.231806595577354,-0.176674904967708,-0.151793109873255,0.083874994511038,-0.41556818872005,0.0859985466624893,0.015835911650811,-0.246302497288179,-0.133674773475812,0.278743188926361,0.0835313382131461,0.0725546602666032,-0.331568266565768,0.0919435324933937,0.239571430286692,-0.161930009899505,0.152297944342248,0.131496161395908,-0.311125657157769,-0.0649739200564513,0.021312400657114,0.0604547662227812,-0.104949874382768,-0.163686789687679
"B7",-0.0160601589234217,0.123595461765074,-0.164341387105586,0.0493142132364968,-0.0948562487008691,0.319191910574307,-0.067564548864015,-0.0833618502496537,-0.0727967694571967,0.412228851953667,-0.0323291379699589,-0.136051100925773,-0.0882549889416458,-0.204671534387966,-0.297970350038928,0.212679365894736,-0.324841670664638,0.208730744991787,0.279501862704998,0.0356366478708898,0.0892018018737353,-0.00239943177052737,0.195419952397668,-0.00581436778421624,-0.183697275207751,-0.041960444752249
"B8",-0.0170711755728761,-0.0316999195170032,0.0959861513738823,-0.071673833496855,-0.067844775892967,-0.155586241506949,0.282758074107993,-0.0124545511906966,0.0859172843586861,-0.19526429314974,0.370304672088708,-0.30689401939899,0.148438316153711,-0.0375600137237876,-0.0786152008528627,0.0805318012132015,0.0822304116305864,0.227551542050512,-0.198840788975292,0.0558861424512006,-0.280220596777822,0.247542980870108,0.0683604106227203,0.119003402801514,-0.0607056885235265,-0.146095808562737
"B9",-0.0333696381536224,0.0192015227543672,-0.0223633099312971,0.0904078440946482,-0.136768867400505,0.0242727409045912,-0.00811236147603765,-0.00616099553461099,-0.016702782121391,0.0427814985873859,-0.197698996217251,0.172294610237001,0.339461717129951,0.0114006760180725,0.47667750371176,-0.0187543115071859,-0.0341816737071842,0.323753069384572,-0.0463732399442558,0.267579398902621,-0.150531510096412,-0.213909508055998,0.337910871644079,-0.00852036947055473,-0.140635768138546,0.251737552438137
"B10",0.0211888624518891,0.00598591269670926,-0.0259055180392649,-0.029880146905452,0.136961401106298,0.201324777776361,0.0388004232264686,0.117934436073127,0.192876578248006,0.184767535336105,0.0375862405486858,0.308589802238503,-0.311733787573745,0.271477051578281,0.149104346383281,0.0144570199877769,0.107372247728241,-0.168332502012746,-0.168243138604518,-0.0349482600550093,0.00725751262878693,0.427003832139962,0.284281381265556,0.235089433985018,-0.0923493180533748,0.0508945026168737
"B11",0.00681889757903785,-0.0256146633555123,0.100983966384231,0.00878485521388876,-0.0949036225068128,-0.106098127252614,0.223857641517632,-0.0315929623837458,-0.215594057000781,-0.168428027007575,0.235759745408867,-0.0253403943724969,-0.163812074358389,0.0806608576009968,-0.204975144109273,0.108121560784356,-0.178559603431894,-0.304507399663288,0.0825728918578451,-0.0189545685347362,-0.206029745625092,-0.107357855873811,0.29146167237123,-0.28963889587232,-0.185943640689849,0.297977599542865
"B12",-0.01601066455744,0.0300258553868203,-0.081829748277661,0.0700244798988372,0.036242202064058,0.0819874182436924,-0.0442401959149702,-0.0436137867117613,0.0352145588482501,-0.171614352029507,-0.0557629759217534,-0.105898218503764,0.354429121704026,-0.183950239381853,-0.0586963510382532,-0.388743112392274,-0.0482342990741409,-0.272089669792009,0.279579923900001,0.124601470411827,-0.143098247673283,0.225526732790804,0.175072556559085,0.130049448961104,0.226705946863045,0.274393419447355
"B13",0.0162809964749512,-0.00894917129395848,0.0527684452798136,-0.0927678677830339,0.0409424793250618,0.00201394588264188,0.0180287789941392,0.158709191600786,-0.0762091963008059,0.0100001079341029,-0.285279774866814,0.000648839897495769,-0.238222235032376,-0.347967328491188,-0.199405325914473,-0.233485997225413,0.106190578248005,0.32894972631003,-0.169140732139223,0.112241945634633,-0.164660228981969,0.424462446421698,0.142914591035132,-0.12079953081051,-0.0501048958852702,0.072817923086992
"B14",-0.0152547871702133,0.0101070922412347,-0.0183379981340229,0.0880482063922208,-0.0535010013448884,-0.101496078896717,-0.121083929813033,-0.00828872363470916,0.0729131765892402,0.0460261391458096,0.078497060928505,0.104900113110201,-0.123676965030422,0.135195080778996,-0.0642592787949426,0.1165448807574,-0.0498996649527613,0.323606509682489,0.120385874876048,-0.39705617043463,-0.408964220536563,-0.179019493945375,0.238799451125401,0.355393028754829,0.286461141470251,0.0171120172418436
"B15",-0.0014964216003195,0.0106230540959922,0.000247771086225975,-0.0465637669357688,0.0881291812019025,0.0766138739368985,0.023685345950012,-0.00787720936446201,-0.043542257010631,0.0477770829985183,-0.181648625080005,-0.275065444740674,0.142946733503312,0.325761559231156,0.219124458199493,0.327948085031352,-0.201993518790536,-0.149147052100356,0.327011950435507,0.0509753814784816,-0.23330163323276,0.401829968371586,-0.00234498778549199,-0.0719694504922276,0.00124275813702198,-0.168419420046403
"C1",0.639966231347838,-0.0256527899936331,0.121972179921525,0.0961545188506363,-0.0314863881792556,0.0601127094092063,-0.0599139982497923,0.0427916675232163,0.0238800455478606,0.0973562806181612,0.119608843446752,-0.0680109676987126,0.0480864794003755,0.099125692382605,-0.00640211890892914,-0.0787403128602517,0.154024252033886,-0.00561613469037886,-0.0364198839866558,0.148023525214038,0.0869948947143798,-0.107378336778586,0.418951244086679,-0.300153471355344,0.168156717406147,-0.307084187133768
"C2",-0.00312040312221409,0.712903575017199,0.237440044699946,-0.0393273882422096,-0.0159455064670945,-0.265365897050996,0.0875331275867363,-0.266276254931013,0.250532303357014,0.123353889026927,-0.128985313618511,-0.189725302865379,-0.0516969357719867,0.0427710666021371,0.0295221394493946,-0.167685746676523,-0.0693353125095098,-0.0966348275240386,-0.122263709313531,-0.045054031114361,-0.0368216919902382,-0.0638896837754491,0.0827462296695097,0.0711568476771318,-0.134330906938349,-0.0411836053632041
"C3",0.21102428221935,0.167166299858574,-0.407729056298146,0.147553043972922,-0.175563384340273,-0.083464805465666,0.0132659228633289,0.373657628821773,0.0827369933747449,-0.204911292301979,-0.24050955355504,-0.0156422494955,0.231423271411215,-0.101318519153651,-0.0912769669157414,0.362663157838751,-0.0757259402449245,-0.170535139565217,-0.356742917667284,-0.213465584044387,0.0389974994379475,0.0371103532285581,0.0511061570346228,0.0484970896628637,-0.107903075970055,0.0361861441764677
